,geneSymbol
1521,Actc1
1522,Actg1
1523,Actg2
1524,Actl6a
1525,Actl6b
1526,Actn1
1527,Actn2
1528,Actn3
1529,Actn4
1530,Actr1a
1531,Actr1b
1532,Actr3
1533,Actr8
1534,Acy1
1535,Adam22
1536,Adap1
1537,Adar
1538,Adarb1
1539,Adcy1
1540,Add1
1541,Add2
1542,Adh4
1543,Adipoq
1544,Adnp
1545,Adpgk
1546,Adrbk1
1547,Adrm1
1548,Adsl
1549,Adss
1550,Afap1
1551,Afg3l2
1552,Afti
1553,Agap1
1554,Agap2
1555,Agfg1
1556,Agfg2
1557,Ago1
1558,Ago2
1559,Ago3
1560,Ago4
1561,Agpat3
1562,Agpat6
1563,Agtrap
1564,Ahcy
1565,Ahnak
1566,Ahr
1567,Ahsa1
1568,Ahsa2
1569,Ahsg
1570,Aifm1
1571,Aimp1
1572,Aip
1573,Ajuba
1574,Ak1
1575,Ak2
1576,Akap1
1577,Akap12
1578,Akap7
1579,Akap8
1580,Akap8l
1581,Akap9
1582,Akirin2
1583,Akr1b3
1584,Akr7a5
1585,Akt1
1586,Akt3
1587,Alad
1588,Alas2
1589,Aldh16a1
1590,Aldh18a1
1591,Aldh1a1
1592,Aldh1a7
1593,Aldh1b1
1594,Aldh1l2
1595,Aldh2
1596,Aldh3a1
1597,Aldh9a1
1598,Aldoa
1599,Aldoc
1600,Alg2
1601,Alg5
1602,Alox15
1603,Alpl
1604,Alyref
1605,Alyref2
1606,Ambra1
1607,Amotl1
1608,Amph
1609,Amz2
1610,Anapc5
1611,Anapc7
1612,Angel1
1613,Ank2
1614,Ank3
1615,Ankrd13a
1616,Ankrd17
1617,Ankrd32
1618,Ankrd6
1619,Anpep
1620,Anxa1
1621,Anxa2
1622,Anxa5
1623,Anxa6
